Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
FII BLUE LOG;CI;BLMG11;IFIX;
FII BRESCO;CI;BRCO11;IFIL,IFIX;
FII BRREALTY;CI;BZLI11;IFIX;
FII BTG AGRO;CI;BTAL11;IFIX;
FII BTG CRI;CI;BTCR11;IFIX;
FII BTLG;CI;BTLG11;IFIL,IFIX;
FII CAP REIT;CI;CPFF11;IFIX;
FII CAPI SEC;CI;CPTS11;IFIL,IFIX;
FII CSHG CRI;CI;HGCR11;IFIL,IFIX;
FII CSHG FOF;CI;HGFF11;IFIX;
FII CSHG LOG;CI;HGLG11;IFIL,IFIX;
FII CSHG URB;CI;HGRU11;IFIL,IFIX;
FII DEVANT;CI;DEVA11;IFIL,IFIX;
FII EXCELLEN;CI;FEXC11;IFIX;
FII FATOR VE;CI;VRTA11;IFIL,IFIX;
FII G TOWERS;CI;GTWR11;IFIL,IFIX;
FII GEN SHOP;CI;FIGS11;IFIX;
FII GGRCOVEP;CI;GGRC11;IFIL,IFIX;
FII GUARDIAN;CI;GALG11;IFIX;
FII HABIT II;CI;HABT11;IFIL,IFIX;
FII HECTARE;CI;HCTR11;IFIL,IFIX;
FII HEDGEBS;CI;HGBS11;IFIL,IFIX;
FII HG REAL;CI;HGRE11;IFIL,IFIX;
FII HSI CRI;CI;HSAF11;IFIX;
FII HSI LOG;CI;HSLG11;IFIL,IFIX;
FII HSI MALL;CI;HSML11;IFIL,IFIX;
FII HTOPFOF3;CI;HFOF11;IFIL,IFIX;
FII INDL BR;CI;FIIB11;IFIX;
FII IRIDIUM;CI;IRDM11;IFIL,IFIX;
FII JS REAL;CI;JSRE11;IFIL,IFIX;
FII KILIMA;CI;KISU11;IFIL,IFIX;
FII KINEA;CI;KNRI11;IFIL,IFIX;
FII KINEA HY;CI;KNHY11;IFIL,IFIX;
FII KINEA IP;CI;KNIP11;IFIL,IFIX;
FII KINEA RI;CI;KNCR11;IFIL,IFIX;
FII KINEA SC;CI;KNSC11;IFIL,IFIX;
FII KINEAFOF;CI;KFOF11;IFIX;
FII MALLS BP;CI;MALL11;IFIL,IFIX;
FII MAUA;CI;MCCI11;IFIL,IFIX;
FII MAXI REN;CI;MXRF11;IFIL,IFIX;
FII MERITO I;CI;MFII11;IFIX;
FII MOGNO;CI;MGFF11;IFIL,IFIX;
FII MORE RE;CI;MORE11;IFIX;
FII NCH EQI;CI;EQIN11;IFIX;
FII OURI JPP;CI;OUJP11;IFIX;
FII PATR LOG;CI;PATL11;IFIL,IFIX;
FII PLURAL R;CI;PLCR11;IFIX;
FII POLO CRI;CI;PORD11;IFIX;
FII QUASAR A;CI;QAGR11;IFIX;
FII RBR LOG;CI;RBRL11;IFIX;
